Name,Abbreviation,Type,Short description,Latest version,Latest activity found,Project page,RDF/OWL or KIF,Authors/creators
Core Ontology for Robotics and Automation,CORA,Core Ontology,It was developed within the IEEE 1872-2015 Standard Ontologies for Robotics and Automation. Specifies core conceptions of Robotics domain.,1.x,2020-10-21,https://github.com/srfiorini/IEEE1872-owl,https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/cora.owl,IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)
CORAX,CORAX,Core Ontology,"It was developed to provide concepts which were to general for CORA ontology, but did not exist in SUMO ontology, such as design, interaction and artifical system.",1.x,2020-10-21,https://github.com/srfiorini/IEEE1872-owl,https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/corax.owl,IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)
GoodRelations,-,Vocabulary,"GoodRelations is a standardized vocabulary for product, price, store, and company data that can (1) be embedded into existing static and dynamic Web pages and that (2) can be processed by other computers.",1.0,2011-11-01,"https://www.heppnetz.de/ontologies/goodrelations/v1.html,http://wiki.goodrelations-vocabulary.org/Main_Page",,Martin Hepp
Industrial Maintenance Ontology,IMAMO,Domain-Ontology,"Ontology, that covers concepts about technical, administrative and management activities and actions for maintenance information systems.",2.0 (OWL Version),2021-08-12,https://industryportal.enit.fr/ontologies/IMAMO,https://industryportal.enit.fr/ontologies/IMAMO,Hedi Karray
IOF Supply Chain Reference Ontology,IOF-SCRO,Domain-Ontology,Supply Chain Reference Ontology (SCRO) aims to represent the generic constructs (including classes and properties) related to the domain of supply chain and logistics with focus on consistency and interoperability across supply chain- and logistics ontologies,1.0 (2023-01-01),2023-10-10,https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChainReferenceOntology/,https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChainReferenceOntology.rdf,"Farhad Ameri, Evan Wallace,Boonserm Kulvatanyou"
Ontology for Autonomous Robotics,ROA,,It defines robotic notions identified as fundamental for Autonomous Robotics.,,?,https://www.aolivaresalarcos.com/pdf/2017-roman.pdf,,
Ontology of units of Measure,OM,Core Ontology,The Ontology of units of Measure (OM) 2.0 models concepts and relations that underlie the formulation of quantitative knowledge in scientific research.,2.0,2024-02-08,https://github.com/HajoRijgersberg/OM,https://github.com/HajoRijgersberg/OM,Hajo Rijgersberg and contributors: https://github.com/HajoRijgersberg/OM/graphs/contributors
ORArch,ORArch,,"It elaborates notions related to hardware and software, as well as how these can be represented together in mixed architecture descriptions.",,?,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BF86BB5310356D642C82470D67974804/S0269888919000109a.pdf/div-class-title-ontologies-for-industry-4-0-div.pdf,,
Position Ontology,POS,Core Ontology,"It extends SUMO and complements CORA and was developed for capturing the main concepts and relations underlying the notions of position, orientation and pose.",1.x,2020-10-21,https://github.com/srfiorini/IEEE1872-owl,https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/pos.owl,IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)
"Quantities, Units, Dimensions and Types ontology",QUDT,Core Ontology,"QUDT presents a unified architecture for the conceptual representation of quantities, quantity kinds, units, dimensions, and data types, which lie at the core of all scientific and engineering inquiry.",2.1.35,2024-01-19,https://qudt.org/,https://bioportal.bioontology.org/ontologies/QUDT,"Charity group, many volunteers"
RPARTS,RPARTS,Sub Ontology,It was developed to provide concepts for CORA ontology to model robotic parts.,1.x,2020-10-21,https://github.com/srfiorini/IEEE1872-owl,https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/rparts.owl,IEEE RAS Ontology for Robotics and Automation Working Group (IEEE RAS ORA WG)
schema.org,-,Vocabulary,"Schema.org is a collaborative, community activity with a mission to create, maintain, and promote schemas for structured data on the Internet.",26.0,2024-02-12,"https://schema.org/,https://github.com/schemaorg/schemaorg",https://schema.org/docs/developers.html,Many contributors both from companies and volunteers.
Suggested Upper Merged Ontology,SUMO,Top Level Ontology,"The Suggested Upper Merged Ontology (SUMO) and its domain ontologies form the largest formal public ontology in existence today. They are being used for research and applications in search, linguistics and reasoning. ",1.x,2024-01-20,https://github.com/ontologyportal/sumo,https://github.com/ontologyportal/sumo,Adam Pease and contributors (e.g. https://github.com/ontologyportal/sumo/graphs/contributors)
Vehicles Sales Ontology,VSO,Core Ontology,,,,,,
Volkswagen Vehicles Ontology (from IndustryPortal),VVO,"Core Ontology,Vocabulary",A vocabulary for describing Volkswagen-specific features of automobiles and their components,1.0 (2010-10-12),2022-02-11,https://industryportal.enit.fr/ontologies/VVO,https://data.industryportal.enit.fr/ontologies/VVO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942,"Abdelouadoud Rasmi,Charles Sandeman-Craik,Chris Jenkins,Tim Redding,Yago Otero,William Greenly,Robin Dingle"
