"Name","Manufacturing Industry related","Abbreviation","Short description","Latest version","Latest activity found","Project page or publication","Ontology URI","RDF/XML file","Turtle file","Download location","Authors/creators","License"
"3D Modeling Ontology","yes","3DMO","A comprehensive 3D ontology with X3D 3.3 and X3DOM alignment.","1.1","Information not available","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/3D4ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/3D4ExtruOnt.owl","","","Leslie Sikos","CC-BY 4.0"
"Additive Manufacturing and Maintenance Operations Ontology","yes","AMMO","Ontology in support of additive manufacturing for maintenance operations developed as part of the America Makes Additive With Knowledge project.","0.6.0","2022-07-31","https://github.com/LA3D/ammo","https://w3id.org/ammo/ont/","https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.rdf","https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.ttl","","Charles F. Vardeman II","CC-BY 4.0"
"Additive Manufacturing Ontology","yes","AMOntology","Information systems architecture, including metrics, information models and validation methods to shorten the design-to-product cycle time in additive manufacturing (AM).","Final1","2016-08-19","https://www.nist.gov/programs-projects/systems-integration-additive-manufacturing","http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122","https://raw.githubusercontent.com/iassouroko/AMontology/master/AMOntology-vFinal1.owl","","","Paul Witherell,Yan Lu,Jason Fox,Robert R. Lipman","Custom license"
"Additive Manufacturing and Maintenance Operations Ontology","yes","AMMO","Ontology in support of additive manufacturing for maintenance operations developed as part of the America Makes Additive With Knowledge project.","0.6.0","2022-07-31","https://github.com/LA3D/ammo","https://w3id.org/ammo/ont/","https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.rdf","https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.ttl","","Charles F. Vardeman II","CC-BY 4.0"
"AURORAL Adapters Ontology","yes","Information not available","This ontology aims at modelling the adapters for the AURORAL project.","0.0.1","2023-12-21","https://github.com/oeg-upm/auroral-adapters-ontology","https://auroral.iot.linkeddata.es/def/adapters","https://auroral.iot.linkeddata.es/def/adapters/ontology.owl","https://auroral.iot.linkeddata.es/def/adapters/ontology.ttl","","Ahlem Rhayem,Andrea Cimmino,Juan Cano de Benito,Maria Poveda Villalon,Raúl García Castro","CC-BY 4.0"
"AURORAL Cell-Tower Ontology","yes","Information not available","This ontology aims at modelling the cell-tower information for the AURORAL project.","1","2023-12-22","https://github.com/oeg-upm/auroral-cellTower-ontology","https://auroral.iot.linkeddata.es/def/cell#","","https://raw.githubusercontent.com/oeg-upm/auroral-cellTower-ontology/main/Ontology/auroral-cellTowerOntology.ttl","","Ahlem Rhayem,Andrea Cimmino,Juan Cano Benito,María Poveda Villalón,Raúl García Castro","CC-BY 4.0"
"AURORAL Energy Ontology","yes","Information not available","This ontology aims at modeling the building energy consumption for the AURORAL project.","1.0","2023-12-22","https://github.com/oeg-upm/auroral-energy-ontology","https://auroral.iot.linkeddata.es/def/energy#","https://auroral.iot.linkeddata.es/def/energy/ontology.owl","https://auroral.iot.linkeddata.es/def/energy/ontology.ttl","","Ahlem Rhayem,Andrea Cimmino,Juan Cano,María Poveda Villalón,Raúl García Castro","CC-BY 4.0"
"AURORAL Logistic Ontology","yes","Information not available","This ontology aims at modelling the logistic domain for the AURORAL project.","0.0.1","2023-12-22","https://github.com/oeg-upm/auroral-shipmentBiomass-ontology","https://auroral.iot.linkeddata.es/def/shipment#","https://auroral.iot.linkeddata.es/def/shipment/ontology.owl","https://auroral.iot.linkeddata.es/def/shipment/ontology.ttl","","Ahlem Rhayem,Andrea Cimmino,Juan Cano,María Poveda Villalón,Raúl García Castro","Information not available"
"AURORAL Vehicle Charger Ontology","yes","Information not available","This ontology aims to model the electrical vehicle charger domain for the AURORAL project.","1.0.0","2023-12-22","https://github.com/oeg-upm/auroral-VehicleCharger-ontology","https://auroral.iot.linkeddata.es/def/electrical-vehicle#","","https://raw.githubusercontent.com/oeg-upm/auroral-VehicleCharger-ontology/main/ontology/EV-charger.ttl","","Ahlem Rhayem,Andrea Cimmino,Juan Cano,Maria Poveda Villalon,Raul Garcia Castro","CC-BY 4.0"
"Automotive Industry Ontology","yes","Information not available","The Auto Ontology combines information from more related ontologies in order to create a common language to be used within the AUTO Industry.","Information not available","2022-03-31","https://iurianu.rocks/developer/ontology-for-automotive-industry/","http://iurianu.rocks/wp-content/uploads/cdn/auto.owl/#","https://raw.githubusercontent.com/iurianu/auto-ontology/master/auto.owl","","","Iulian Andriescu","Information not available"
